invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons,longitude,latitude
INV-41268900020,2021-10-22,5751,CASEY'S GENERAL STORE #2346 / BURLINGTON,2630 SUMMER ST,BURLINGTON,52601,"{'type': 'Point', 'coordinates': [-91.117485, 40.780118]}",29,DES MOINES,1701100,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,16.59,24.89,12,298.68,9.0,2.37,,
INV-41309800010,2021-10-25,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807,"{'type': 'Point', 'coordinates': [-90.513769, 41.574973]}",82,SCOTT,1031100,AMERICAN VODKAS,300,MCCORMICK DISTILLING CO.,36904,MCCORMICK 80PRF VODKA PET,24,375,1.80,2.70,48,129.6,18.0,4.75,,
INV-41325400013,2021-10-25,4269,TIPTON FAMILY FOODS,610 CEDAR ST,TIPTON,52772,"{'type': 'Point', 'coordinates': [-91.128389, 41.771753]}",16,CEDAR,1701100,TEMPORARY & SPECIALTY PACKAGES,384,PIEDMONT DISTILLERS INC,101139,MIDNIGHT MOON PEPPERMINT W/ SHOT GLASS,6,750,11.50,17.25,6,103.5,4.5,1.18,,
INV-41141800017,2021-10-19,2704,HY-VEE OELWEIN DOLLAR FRESH,1345 S FREDERICK AVE,OELWEIN,50662,"{'type': 'Point', 'coordinates': [-91.913615, 42.6594]}",33,FAYETTE,1031100,AMERICAN VODKAS,205,E & J GALLO WINERY,36971,NEW AMSTERDAM 80PRF,6,1750,14.00,21.00,6,126.0,10.5,2.77,,
INV-41308200068,2021-10-25,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,"{'type': 'Point', 'coordinates': [-91.53046300000001, 41.642764]}",52,JOHNSON,1011100,BLENDED WHISKIES,065,JIM BEAM BRANDS,24458,KESSLER BLEND WHISKEY,6,1750,11.00,16.50,6,99.0,10.5,2.77,,
INV-41303200106,2021-10-25,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266,"{'type': 'Point', 'coordinates': [-93.808855, 41.598515]}",77,POLK,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,20116,OLD GRAND DAD 114PRF,12,750,13.84,20.76,12,249.12,9.0,2.37,,
INV-41270900038,2021-10-22,4402,KUM & GO #80 / RIVERSIDE,1178 ENTERPRISE DR,RIVERSIDE,52327,"{'type': 'Point', 'coordinates': [-91.555044, 41.486572]}",92,WASHINGTON,1032100,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,9.99,14.99,6,89.94,4.5,1.18,,
INV-41254600002,2021-10-22,5395,YESWAY STORE #1037/ GRIMES,1905 SE 37TH STREET,GRIMES,50111,"{'type': 'Point', 'coordinates': [-93.773947, 41.658535]}",77,POLK,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,19066,JIM BEAM,12,750,11.00,16.50,12,198.0,9.0,2.37,,
INV-41301200008,2021-10-25,4068,SA PETRO MART,136  1ST ST,WEST DES MOINES,50265,,77,POLK,1012400,IRISH WHISKIES,370,PERNOD RICARD USA,15644,JAMESON,24,375,7.10,10.65,24,255.6,9.0,2.37,,
INV-41264400019,2021-10-22,4629,KWIK SHOP #541 / GLENWOOD,309 N LOCUST ST,GLENWOOD,51534,"{'type': 'Point', 'coordinates': [-95.744909, 41.050184]}",65,MILLS,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38176,TITOS HANDMADE VODKA,12,750,10.00,15.00,12,180.0,9.0,2.37,,
